SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
23A_S77,23A,1,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.653888888888886,172.81222222222223
23a_S19,23A,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.653888888888886,172.81222222222223
23B_S78,23B,1,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.653888888888886,172.81222222222223
23b_S20,23B,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.653888888888886,172.81222222222223
23C_S79,23C,1,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.653888888888886,172.81222222222223
23c_S21,23C,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.653888888888886,172.81222222222223
33A_S80,33A,1,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.630833333333335,171.30055555555558
33a_S33,33A,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.630833333333335,171.30055555555558
33B_S81,33B,1,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.630833333333335,171.30055555555558
33b_S34,33B,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,TRUE,-43.630833333333335,171.30055555555558
SI17_S183,SI17,2,Ctenarytaina_sp_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,5/11/15,FALSE,-46.900277777777774,168.12083333333334
